dates,campaign_name,creative_name,total_spent,impressions,clicks,click_through_rate,leads,platform,adset_name
2024-05-03,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,205.65,20,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-03,USP Study Abroad_Generic_240224,USP_S4_Do-you-have,109.88,48,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-03,USP_2_Lead-gen-1_220124,USP_S1_We-guarantee,850.99,258,16,6.20155039,4.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP_2_Lead-gen-1_220124,USP_S2_Faced-rejection,22.15,21,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP_2_Lead-gen-1_220124,USP_S3_never-been-easier,0.24,1,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP_2_Lead-gen-1_220124,USP_S4_Do-you-have,14.13,7,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,319.65,770,6,0.77922078,1.0,facebook,usp-2_ap_ts_050424
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,USP_S3_never-been-easier,180.5,3916,12,0.30643514,0.0,facebook,usp-2_ka_tn_050424
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,USP_S3_never-been-easier,120.7,4894,8,0.16346547,0.0,facebook,usp-2_ap_ts_050424
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,817.36,4019,15,0.37322717,1.0,facebook,usp-2_ap_ts_050424
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,USP_S4_Do-you-have,74.23,954,4,0.41928721,0.0,facebook,usp-2_ap_ts_050424
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,USP_S1_We-guarantee,333.75,3632,7,0.19273128,0.0,facebook,usp-2_ap_ts_050424
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,USP_S4_Do-you-have,43.85,496,0,0.0,0.0,facebook,usp-2_ka_tn_050424
2024-04-29,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,100.34,120,2,1.66666667,1.0,facebook,all india focusing on uni ad set_060324
2024-05-03,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,196.95,161,4,2.48447205,1.0,facebook,all india generic leads ad set_240224
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,#7 ( Graphic ) - Get A Free Pass,695.15,2884,10,0.34674064,2.0,facebook,usp-2_ka_tn_050424
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,#8 ( Graphic ) - Study In The USA,411.32,822,4,0.486618,0.0,facebook,usp-2_ka_tn_050424
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,USP_S2_Faced-rejection,288.4,3609,13,0.36021058,1.0,facebook,usp-2_ka_tn_050424
2024-05-03,USP_2_Lead-gen-2_Top4-states_050424,USP_S1_We-guarantee,366.85,2876,12,0.41724618,2.0,facebook,usp-2_ka_tn_050424
2024-05-03,USP_2_Lead-gen-1_220124,State University Of New York_New,21.68,17,2,11.76470588,1.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1303.84,3069,28,0.9123493,4.0,facebook,all india generic leads ad set_240224
2024-05-03,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,122.26,35,0,0.0,0.0,facebook,all india generic leads ad set_240224
2024-05-03,USP_2_Lead-gen-1_220124,#8 ( Graphic ) - Study In The USA,1437.39,6086,53,0.87085113,11.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,131.23,533,5,0.9380863,1.0,facebook,all india focusing on uni ad set_060324
2024-05-03,USP_2_Lead-gen-1_220124,#7 ( Graphic ) - Get A Free Pass,5.53,4,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP_2_Lead-gen-1_220124,#6 ( Graphic ) - Master's Degree In 12 Months,703.13,1241,16,1.28928284,4.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP_2_Lead-gen-1_220124,#16 ( Graphic ) - Dual coursework_Hands,6.36,24,1,4.16666667,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP_2_Lead-gen-1_220124,#18 - Master's Degree In 12 Months Â– Rutgers,7.68,3,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-03,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,894.06,614,11,1.79153094,1.0,facebook,all india generic leads ad set_240224
2024-05-03,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,1100.84,434,16,3.68663594,4.0,facebook,all india counselling look-a-like_290224
2024-05-03,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,402.81,194,1,0.51546392,2.0,facebook,all india focusing on uni ad set_060324
2024-05-03,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,5.76,43,0,0.0,0.0,facebook,all india focusing on uni ad set_060324
2024-05-03,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1547.79,11589,95,0.81974286,1.0,facebook,all india focusing on uni ad set_060324
2024-05-03,USP Study Abroad_Generic_240224,#8 ( Graphic ) - Study In The USA,698.91,3218,30,0.93225606,2.0,facebook,all india focusing on uni ad set_060324
2024-05-03,USP Study Abroad_Generic_240224,USP_S3_never-been-easier,10.13,73,0,0.0,0.0,facebook,all india focusing on uni ad set_060324
2024-05-03,USP Study Abroad_Generic_240224,USP_S3_never-been-easier,35.5,2,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-03,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,149.24,253,8,3.16205534,2.0,facebook,all india focusing on uni ad set_060324
2024-05-03,USP Study Abroad_Generic_240224,USP_S4_Do-you-have,60.38,11,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-03,USP Study Abroad_Generic_240224,USP_S1_We-guarantee,688.23,138,15,10.86956522,7.0,facebook,all india counselling look-a-like_290224
2024-05-03,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,0.04,3,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-03,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,44.98,80,1,1.25,0.0,facebook,all india counselling look-a-like_290224
2024-05-03,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,115.15,16,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-04-22,USP_Search_APTNTSKA_250124, --,4654.12,959,160,0.1668,14.0,google,gmat/gre
2024-05-03,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,54.55,19,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-03,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,871.85,2712,38,1.40117994,5.0,facebook,all india counselling look-a-like_290224
2024-05-03,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,152.88,52,2,3.84615385,0.0,facebook,all india generic leads ad set_240224
2024-05-02,USP Study Abroad_Generic_240224,USP_S3_never-been-easier,23.94,123,0,0.0,0.0,facebook,all india focusing on uni ad set_060324
2024-05-02,USP Study Abroad_Generic_240224,#15 ( Graphic ) - Dual coursework_Plain,0.06,1,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-02,USP Study Abroad_Generic_240224,USP_S4_Do-you-have,9.86,4,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-02,USP Study Abroad_Generic_240224,USP_S1_We-guarantee,333.49,80,8,10.0,2.0,facebook,all india counselling look-a-like_290224
2024-05-02,USP Study Abroad_Generic_240224,USP_S3_never-been-easier,43.75,5,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-02,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,27.18,69,1,1.44927536,0.0,facebook,all india counselling look-a-like_290224
2024-05-02,USP Study Abroad_Generic_240224,USP_S2_Faced-rejection,25.85,12,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-02,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,75.53,10,0,0.0,0.0,facebook,all india counselling look-a-like_290224
2024-05-02,USP Study Abroad_Generic_240224,USP_kavita&steffi_VideoAd6,1096.77,2411,37,1.53463293,7.0,facebook,all india counselling look-a-like_290224
2024-05-02,USP Study Abroad_Generic_240224,USP_S5_easy-for-you,89.97,252,3,1.19047619,1.0,facebook,all india focusing on uni ad set_060324
2024-05-02,USP_2_Lead-gen-1_220124,#7 ( Graphic ) - Get A Free Pass,6.48,2,0,0.0,0.0,facebook,usp-2_data_job-title_india_exclude_katntsap
2024-05-02,USP Study Abroad_Generic_240224,USP_RG_VideoAd5,129.95,376,3,0.79787234,0.0,facebook,all india focusing on uni ad set_060324
